Variable / Field Name,Form Name,Section Header,Field Type,Field Label,Choices, Calculations, OR Slider Labels,Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
homer_id,modified_rankin_scale,,text,Record ID,,,,,,,,,,,,,,,
mrs_date,modified_rankin_scale,,text,Date of Assessment,,,date_ymd,,,,,,,,,,,
mrs_examiner,modified_rankin_scale,,text,Examiner Name,,,,,,,,,,,,,,,
mrs_score,modified_rankin_scale,MODIFIED RANKIN SCALE (mRS),radio,Modified Rankin Scale (mRS) Score,"0, 0 - No symptoms at all | 1, 1 - No significant disability despite symptoms; able to carry out all usual duties and activities | 2, 2 - Slight disability; unable to carry out all previous activities, but able to look after own affairs without assistance | 3, 3 - Moderate disability; requiring some help, but able to walk without assistance | 4, 4 - Moderately severe disability; unable to walk without assistance and unable to attend to own bodily needs without assistance | 5, 5 - Severe disability; bedridden, incontinent and requiring constant nursing care and attention | 6, 6 - Dead",,,,,,,,,,,,,,
