Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
homer_id,exit_questionnaire_intervention,,text,Record ID,,,,,,,,,,,,,
eqi_opt_out_reasons,exit_questionnaire_intervention,EXIT QUESTIONNAIRE - INTERVENTION GROUP,checkbox,Why did you opt out of the study?,"1, Training at home without the therapist was difficult | 2, Training for 2 hours a day was tiring | 3, I had pain when training with the robot | 4, I felt this kind of therapy was not interesting | 5, I was not able to use the system independently | 6, The robot was not safe to use | 7, Recurrent hardware/software/electricity/UPS related technical issues | 8, The caregiver had limited familiarity with technology | 9, Unavailable to use the device because I was away/unwell during that period | 10, Other",,,,,,,,,,,,
eqi_continue_reason,exit_questionnaire_intervention,,notes,What would have made you continue the study?,,,,,,,,,,,,,
eqi_other_comments,exit_questionnaire_intervention,,notes,Other Comments,,,,,,,,,,,,,
