Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,consent_form,,text,Record ID,,,,,,,,,,,,,,,
consent_obtained,consent_form,Patient Consent Information,checkbox,Has the patient provided informed consent?,"1, Yes",,,,,,,,,,,,,,
consent_date,consent_form,,text,Date of informed consent,,,date_ymd,,,,[consent_obtained(1)] = '1',y,,,,,,,
